Key,Id,English(en),Japanese(ja),Korean(ko)
"industrial_brokerage_network_Desc",864226269111,"A sophisticated trading network specializing in metals, tools, and weapons for industrial and military clients.","金属、工具、兵器を産業・軍クライアントに供給する高度な取引網。","산업·군사 고객을 위해 금속, 도구, 무기를 공급하는 정교한 거래 네트워크."
"iron_mining_consortium",864226269012,"Iron Mining Consortium","鉄鉱山コンソーシアム","철광산 컨소시엄"
"iron_mining_consortium_Desc",864226269112,"A cartel of deep-shaft mines that floods the market with cheap ore and undercuts rivals with ruthless efficiency.","深層鉱山のカルテル。安価な鉱石で市場を氾濫させ、冷酷な効率で競合を駆逐する。","깊은 갱도의 카르텔. 저렴한 광석으로 시장을 채우고 무자비한 효율로 경쟁사를 밀어낸다."
"lumber_consortium",864226269013,"Lumber Consortium","木材コンソーシアム","목재 컨소시엄"
"lumber_consortium_Desc",864226269113,"A sprawling federation of logging houses that controls most timber exports along the northern frontier.","北部辺境の木材輸出の大半を支配する伐採業者の広域連合。","북부 변경의 목재 수출 대부분을 장악한 벌목업자들의 광범위한 연합."
"luxury_furniture_showroom",864226269014,"Luxury Furniture Showroom","高級家具ショールーム","고급 가구 쇼룸"
"luxury_furniture_showroom_Desc",864226269114,"An upscale furniture retailer specializing in premium and custom-made furniture for affluent clients and luxury estates.","富裕層・高級邸宅向けに高級・特注家具を扱うアップスケール家具小売店。","부유한 고객과 럭셔리 부동산을 위한 고급·맞춤 가구를 전문으로 하는 고급 가구 소매점."
"military_armory",864226269015,"Military Armory","軍用兵器廠","군용 병기창"
"military_armory_Desc",864226269115,"The capital's military workshop, renowned for disciplined output of military-grade weapons and equipment for armed forces.","首都の軍用工房。軍用兵器・装備を規律ある生産で供給し、軍に名高い。","수도 군용 공장. 군용급 무기와 장비를 규율 있게 생산하여 군대에 공급하는 것으로 유명하다."
"national_exchange",864226269016,"National Exchange","国家取引所","국가 거래소"
"national_exchange_Desc",864226269116,"Government-sanctioned brokers who balance the capital's supply of lumber, ore, and luxury goods through tightly regulated auctions.","政府公認のブローカー。木材、鉱石、高級品の首都供給を厳格な競売で調整する。","정부 공인 브로커. 엄격히 규제된 경매를 통해 수도에 목재, 광석, 고급품 공급을 조절한다."
"northwind_industrial_union",864226269017,"Northwind Industrial Union","北風産業連合","북풍 산업 연합"
"northwind_industrial_union_Desc",864226269117,"Heavy-industry magnates who churn out tools and alloys for inland factories while swallowing iron and timber supplies.","内陸の工場向けに工具と合金を量産し、鉄と木材を大量に吸収する重工業の大物たち。","내륙 공장에 도구와 합금을 대량 생산하면서 철과 목재를 흡수하는 중공업 거물들."
"precision_components_ltd",864226269018,"Precision Components Ltd","精密部品株式会社","정밀 부품 주식회사"
"precision_components_ltd_Desc",864226269118,"A specialized manufacturer producing precision gears, bolts, and mechanical components for industrial machinery and vehicles.","産業機械・車両向けに精密歯車、ボルト、機械部品を生産する専門メーカー。","산업 기계·차량용 정밀 기어, 볼트, 기계 부품을 생산하는 전문 제조사."
"precision_weapons_workshop",864226269019,"Precision Weapons Workshop","精密兵器工房","정밀 병기 공방"
"precision_weapons_workshop_Desc",864226269119,"Boutique workshop famed for precision-crafted weapons, sourcing only the purest metals and fine wood.","精密兵器で名高いブティック工房。最純度の金属と上質木材のみを調達する。","정밀 제작 무기로 유명한 부티크 공방. 가장 순수한 금속과 고급 목재만 조달한다."
"premium_industrial_logistics",864226269020,"Premium Industrial Logistics","プレミアム産業物流","프리미엄 산업 물류"
"premium_industrial_logistics_Desc",864226269120,"High-end logistics company specializing in sourcing premium metals, tools, and weapons for industrial facilities and military contractors.","産業施設・軍事請負業者向けに高級金属、工具、兵器の調達を手がける高級物流会社。","산업 시설·군사 용역업체를 위해 고급 금속, 도구, 무기 조달을 전문으로 하는 고급 물류 회사."
"smelter_collective",864226269021,"Smelter Collective","製錬共同体","제련 조합"
"smelter_collective_Desc",864226269121,"Cooperative furnaces that refine mountains of ore into ingots, keeping city forges supplied year-round.","鉱石の山をインゴットに精製し、都市の鍛造所に通年供給する協同製錬所。","광석 산을 잉곳으로 정제하여 도시 제련소에 연중 공급하는 협동 제련소."
"vanguard_steelworks",864226269022,"Vanguard Steelworks","ヴァンガード製鉄所","선봉 제철소"
"vanguard_steelworks_Desc",864226269122,"A disciplined foundry house that converts premium ore into dependable steel for the nation's military and construction industries.","上質鉱石を国の軍需・建設産業向けの信頼できる鋼材に変える規律ある鋳造所。","고급 광석을 국가 군사·건설 산업용 믿음직한 강철로 바꾸는 규율 있는 제철소."
"verdant_continental_exchange",864226269023,"Verdant Continental Exchange","緑豊かな大陸取引所","푸른 대륙 거래소"
"verdant_continental_exchange_Desc",864226269123,"Pan-regional wholesalers that keep carpenters supplied with every grade of wood and basic arms for militias.","地域の大工に各種木材と民兵向け基本兵器を供給する広域卸業者。","목수들에게 등급별 목재와 민병대용 기본 무기를 공급하는 지역 도매업자."
"diplomatic_corps",864226269024,"Diplomatic Corps","外交団","외교부"
"diplomatic_corps_Desc",864226269124,"The diplomatic service requires luxury goods, fine furniture, and precious metals for official ceremonies, state visits, and diplomatic gifts to foreign dignitaries.","外交サービスは公式儀式、国賓訪問、外国要人への外交贈答品のために高級品、上質家具、貴金属が必要。","외교 서비스는 공식 의식, 국빈 방문, 외국 귀빈에게 줄 외교 선물을 위해 럭셔리 상품, 고급 가구, 귀금속이 필요하다."
"imperial_academy",864226269025,"Imperial Academy","帝国アカデミー","제국 아카데미"
"imperial_academy_Desc",864226269125,"The empire's premier institution for research and education, requiring electronic components, precision tools, and various materials for scientific experiments and studies.","帝国の最高研究・教育機関。科学実験と研究のために電子部品、精密工具、各種材料が必要。","제국의 최고 연구·교육 기관으로, 과학 실험과 연구를 위해 전자 부품, 정밀 도구, 다양한 재료가 필요하다."
"imperial_guard",864226269026,"Imperial Guard","帝国近衛隊","제국 근위대"
"imperial_guard_Desc",864226269126,"Elite security force protecting the capital, requiring small arms, munitions, and vehicles for patrols and security operations.","首都を守る精鋭警備部隊。パトロールと警備任務のために小火器、弾薬、車両が必要。","수도를 보호하는 정예 경비 부대. 순찰과 경비 작전을 위해 소형 무기, 탄약, 차량이 필요하다."
"imperial_treasury",864226269027,"Imperial Treasury","帝国財務省","제국 재무부"
"imperial_treasury_Desc",864226269127,"The empire's central treasury managing state finances and procuring resources for imperial operations across all provinces.","帝国の中央財務省。国家財政を管理し、全州の帝国作戦のための資源を調達する。","제국의 중앙 재무부로 국가 재정을 관리하고 모든 지역의 제국 작전을 위한 자원을 조달한다."
"military_procurement_office",864226269028,"Military Procurement Office","軍需調達局","군수 조달청"
"military_procurement_office_Desc",864226269128,"Government agency responsible for acquiring weapons, vehicles, and military equipment to supply the empire's armed forces.","帝国軍に武器、車両、軍用装備を供給するため調達する政府機関。","제국 군대에 무기, 차량, 군용 장비를 공급하기 위해 조달하는 정부 기관."
"public_works_department",864226269029,"Public Works Department","公共事業省","공공사업부"
"public_works_department_Desc",864226269129,"Government agency responsible for infrastructure projects, constantly procuring metals, wood, and tools for roads, bridges, and public buildings.","インフラプロジェクトを担当する政府機関。道路、橋、公共建築のために金属、木材、工具を絶えず調達する。","인프라 프로젝트를 담당하는 정부 기관으로, 도로, 다리, 공공 건물을 위해 금속, 목재, 도구를 지속적으로 조달한다."
"royal_court",864226269030,"Royal Court","王室","왕실"
"royal_court_Desc",864226269130,"The royal court maintains its opulent lifestyle, constantly acquiring luxury goods, fine furniture, and precious metals for ceremonies and displays of wealth.","王室は豪華な生活様式を維持し、儀式と富の誇示のために高級品、上質家具、貴金属を絶えず獲得する。","왕실은 화려한 생활 방식을 유지하며, 의식과 부의 과시를 위해 럭셔리 상품, 고급 가구, 귀금속을 끊임없이 획득한다."
"treasury_reserve",864226269031,"Treasury Reserve","国庫準備金","국고 준비금"
"treasury_reserve_Desc",864226269131,"The empire's strategic reserve, accumulating precious metals and gold to maintain financial stability and back the imperial currency.","帝国の戦略備蓄。財政安定を維持し帝国通貨を裏付けるため貴金属と金を蓄積する。","제국의 전략 비축으로, 재정 안정을 유지하고 제국 통화를 뒷받침하기 위해 귀금속과 금을 축적한다."
"art_collector",864226269032,"Art Collector","美術収集家","예술 수집가"
"art_collector_Desc",864226269132,"An avid collector of fine art and craftsmanship, seeking premium furniture, luxury clothing, and fine wood for their extensive collection.","美術と工芸品を熱心に収集する人。広範なコレクションのために高級家具、高級衣類、上質木材を求める。","미술과 공예품을 열정적으로 수집하는 사람으로, 광범위한 컬렉션을 위해 고급 가구, 럭셔리 의류, 고급 목재를 찾는다."
"industrial_investor",864226269033,"Industrial Investor","産業投資家","산업 투자자"
"industrial_investor_Desc",864226269133,"A wealthy investor funding industrial ventures, purchasing metals, components, and tools to support various manufacturing projects and factories.","産業ベンチャーに資金を投資する富裕な投資家。様々な製造プロジェクトと工場を支援するため金属、部品、工具を購入する。","산업 벤처에 자금을 투자하는 부유한 투자자로, 다양한 제조 프로젝트와 공장을 지원하기 위해 금속, 부품, 도구를 구매한다."
"master_craftsman",864226269034,"Master Craftsman","職人巨匠","장인 대가"
"master_craftsman_Desc",864226269134,"A renowned artisan specializing in fine craftsmanship, constantly sourcing premium wood, precision tools, and quality materials for custom creations.","上質な工芸を専門とする著名な職人。特注品制作のために上質木材、精密工具、高品質材料を絶えず調達する。","고급 공예를 전문으로 하는 유명한 장인으로, 맞춤 제작을 위해 고급 목재, 정밀 도구, 고품질 재료를 지속적으로 조달한다."
"merchant_guild",864226269035,"Merchant Guild","商人ギルド","상인 길드"
"merchant_guild_Desc",864226269135,"A powerful trade association pooling resources to purchase various goods for distribution across trade routes and markets.","資源を集約し貿易路と市場全体に配布するため様々な商品を購入する強力な貿易協会。","자원을 모아 무역로와 시장 전역에 배포하기 위해 다양한 상품을 구매하는 강력한 무역 협회."
"noble_estate",864226269036,"Noble Estate","貴族領地","귀족 영지"
"noble_estate_Desc",864226269136,"A prestigious noble family maintaining their ancestral estate, requiring fine furniture, luxury goods, and premium materials for their opulent lifestyle.","祖先伝来の領地を維持する名門貴族家。豪華な生活様式のために上質家具、高級品、高級材料が必要。","조상 대대로 내려온 영지를 유지하는 명망 있는 귀족 가문으로, 화려한 생활 방식을 위해 고급 가구, 럭셔리 상품, 고급 재료가 필요하다."
"private_collector",864226269037,"Private Collector","個人収集家","사적 수집가"
"private_collector_Desc",864226269137,"An eccentric collector with deep pockets, seeking rare and valuable resources including precious metals, fine wood, and unique components for their private collection.","深い財力を持つ風変わりな収集家。私的コレクションのために貴金属、上質木材、独特な部品を含む希少で価値ある資源を求める。","깊은 주머니를 가진 기이한 수집가로, 사적 컬렉션을 위해 귀금속, 고급 목재, 독특한 부품을 포함한 희귀하고 가치 있는 자원을 찾는다."
"scholar",864226269038,"Scholar","学者","학자"
"scholar_Desc",864226269138,"A learned academic conducting research, requiring electronic components, precision tools, and basic materials for experiments and scholarly work.","研究を行う博識な学者。実験と学術作業のために電子部品、精密工具、基本材料が必要。","연구를 수행하는 학식 있는 학자로, 실험과 학술 작업을 위해 전자 부품, 정밀 도구, 기본 재료가 필요하다."
"wealthy_merchant",864226269039,"Wealthy Merchant","富裕な商人","부유한 상인"
"wealthy_merchant_Desc",864226269139,"A prosperous merchant with extensive trade networks, purchasing various resources for personal ventures and investments across the empire.","広範な貿易ネットワークを持つ繁栄した商人。帝国全域の個人ベンチャーと投資のために様々な資源を購入する。","광범위한 무역 네트워크를 가진 번영하는 상인으로, 제국 전역의 개인 벤처와 투자를 위해 다양한 자원을 구매한다."
"weapon_enthusiast",864226269040,"Weapon Enthusiast","武器愛好家","무기 애호가"
"weapon_enthusiast_Desc",864226269140,"A private collector and enthusiast of military weapons, constantly acquiring small arms, heavy arms, and munitions for their private arsenal.","軍用兵器の私的収集家で愛好家。私的武器庫のために小火器、重火器、弾薬を絶えず獲得する。","군용 무기의 사적 수집가이자 애호가로, 사적 무기고를 위해 소형 무기, 중화기, 탄약을 끊임없이 획득한다."
"Government",864226263054,"Government","政府","정부"
"Company",864226263055,"Company","企業","기업"
"Individual",864226263056,"Individual","個人","개인"
