Key,Id,English(en),Japanese(ja),Korean(ko)
"ThreadContainsLockedBuildings",864226268012,"Cannot place thread. One or more buildings in this thread are not researched yet.","スレッドを配置できません。このスレッド内の1つ以上の建物がまだ研究されていません。","스레드를 배치할 수 없습니다. 스레드 내 하나 이상의 건물이 아직 연구되지 않았습니다."
"NotEnoughResources",864226268013,"Not enough resources.","リソースが足りません。","자원이 부족합니다."
"NotEnoughCredits",864226268014,"Not enough credits.","クレジットが足りません。","크레딧이 부족합니다."
"SaveFileNameEmpty",864226268015,"Please enter a save file name.","セーブファイル名を入力してください。","세이브 파일 이름을 입력해 주세요."
"LoadFileNameEmpty",864226268016,"Please enter a load file name.","ロードするファイル名を入力してください。","불러올 파일 이름을 입력해 주세요."
"DeleteFileNameEmpty",864226268017,"Please enter a file name to delete.","削除するファイル名を入力してください。","삭제할 파일 이름을 입력해 주세요."
"SaveFileNotFound",864226268018,"Save file not found.","セーブファイルが見つかりません。","세이브 파일을 찾을 수 없습니다."
"SaveSuccess",864226268019,"Game saved successfully.","ゲームを保存しました。","게임을 저장했습니다."
"SaveFailed",864226268020,"Failed to save game.","ゲームの保存に失敗しました。","게임 저장에 실패했습니다."
"LoadSuccess",864226268021,"Game loaded successfully.","ゲームを読み込みました。","게임을 불러왔습니다."
"LoadFailed",864226268022,"Failed to load game.","ゲームの読み込みに失敗しました。","게임 불러오기에 실패했습니다."
"DeleteSuccess",864226268023,"Save file deleted successfully.","セーブファイルを削除しました。","세이브 파일을 삭제했습니다."
"DeleteFailed",864226268024,"Failed to delete save file.","セーブファイルの削除に失敗しました。","세이브 파일 삭제에 실패했습니다."
"CategoryNameAlreadyExists",864226268025,"A category with this name already exists.","同じ名前のカテゴリーが既に存在します。","이미 존재하는 카테고리 이름입니다."
"UnresearchedBuildingBlocksThreadPlacement",864226268026,"If you place this unresearched building, this thread cannot be placed in the main scene.","この未研究の建物を配置すると、このスレッドはメインで配置できません。","이 연구 안 된 건물을 설치하면 이 스레드는 메인에서 배치할 수 없습니다."
"BuildingPlacedCountLimitReached",864226268027,"Cannot build any more of this building.","この建物はこれ以上建設できません。","이 건물은 더 이상 건설할 수 없습니다."
