Key,Id,English(en),Japanese(ja),Korean(ko)
MarketCanvas6,24812468024680,Making money through the market is key. Watch prices and trade at the right time.,市場を活用して適切なタイミングで売買しましょう。,시장 활용이 수익의 핵심입니다. 가격 흐름을 보고 적절히 매매하세요.
EmployeeCanvas0,36510642880512,This is the panel where you can manage your employees.,従業員を管理するパネルです。,직원을 관리하는 패널입니다.
EmployeeCanvas1,39086448852992,"Workers and Technicians staff buildings, Researchers generate RP, and Managers prevent satisfaction penalties.",ワーカーとテクニシャンは建物に配置、研究者はRP、マネージャーは管理不足のペナルティを防ぎます。,"워커·테크니션은 건물 배치, 연구원은 RP, 매니저는 만족도 하락을 막습니다."
EmployeeCanvas2,36904429305856,Shows management capacity. Short on managers and satisfaction will drop.,マネジメント能力が表示されます。マネージャー不足で満足度が下がります。,관리 능력이 표시됩니다. 매니저가 부족하면 만족도가 떨어집니다.
EmployeeCanvas3,37440536854528,See what is affecting employee satisfaction here.,従業員の満足度に影響する要因をここで確認できます。,만족도에 영향을 주는 요인을 여기서 확인할 수 있습니다.
EmployeeCanvas4,37828904239104,Efficiency depends on satisfaction and affects production speed.,効率は満足度で変わり、生産速度に影響します。,효율은 만족도에 따라 달라지며 생산 속도에 영향을 줍니다.
EmployeeCanvas5,38302378246144,Raising pay is the easiest way to improve satisfaction.,賃金アップが満足度を上げる一番簡単な方法です。,임금 인상이 만족도를 올리는 가장 쉬운 방법입니다.
EmployeeCanvas6,39688935456768,Hire or fire employees here. Both actions cost credits.,ここで従業員の雇用・解雇ができます。どちらもクレジットがかかります。,여기서 직원 고용·해고를 결정합니다. 모두 크레딧이 듭니다.
ResearchCanvas0,2561770013474816,Unlock buildings and boost productivity here.,建物の解放や生産性アップが可能な研究パネルです。,건물 해금과 생산성 향상이 가능한 연구 패널입니다.
ResearchCanvas1,2562082698838016,Research Points (RP) and daily gain are shown here.,研究ポイント（RP）と1日の獲得量がここに表示されます。,연구 포인트(RP)와 하루 획득량이 여기 표시됩니다.
ResearchCanvas2,2562316594200576,See researcher count and active effects here.,研究者数と適用中の効果を確認できます。,연구원 수와 적용 중인 효과를 확인할 수 있습니다.
ResearchCanvas3,2562738453102592,Completed research is tinted; linked projects unlock in order.,完了した研究は色分けされ、順に次が解放されます。,완료한 연구는 색으로 표시되고 순서대로 해금됩니다.
FinenceCanvas0,2563160425250816,View your company's growth over time here.,会社の成長推移を確認できる財務パネルです。,회사 성장 추이를 확인하는 재무 패널입니다.
FinenceCanvas1,2564533472608256,Shows your current monthly growth rate.,現在の月間成長率を表示します。,현재 월간 성장률을 표시합니다.
FinenceCanvas2,2565297930649600,Shows your current monthly profit.,現在の月間利益を表示します。,현재 월간 이익을 표시합니다.
FinenceCanvas3,2566859943985152,Shows your current company value in a graph.,現在の企業価値をグラフで表示します。,현재 기업 가치를 그래프로 표시합니다.
FinenceCanvas4,2566981499109376,Shows your current credits in a graph.,現在のクレジットをグラフで表示します。,현재 크레딧을 그래프로 표시합니다.
UnionPopup0,2578000000000000,Tracks the Labor Union chapter. Satisfaction shifts daily cohesion; fulfilling requests adds more.,労働組合チャプターを管理します。満足度で結合度が変わり、要求達成でボーナスがあります。,노조 챕터를 관리합니다. 만족도에 따라 결합도가 변하고 요구 완료 시 보상이 있습니다.
UnionPopup1,2578000000000001,Shows days remaining in this chapter. At zero the union phase ends.,チャプター残り日数です。0で終了します。,챕터 남은 일수입니다. 0이 되면 종료됩니다.
UnionPopup2,2578000000000002,Previews tomorrow's daily cohesion change from workforce satisfaction.,満足度に基づく次日の結合度変化を見込みます。,만족도에 따른 내일 결합도 변화를 미리 보여 줍니다.
UnionPopup3,2578000000000003,Union Cohesion (0–100%) shifts daily. Reaching 100% completes the chapter.,結合度（0〜100%）は毎日変わり、100%で完了です。,결합도(0~100%)는 매일 변하며 100%에 도달하면 완료됩니다.
UnionPopup4,2578000000000004,Role satisfaction is shown here. Pay raises and completing requests help most.,職種別満足度です。賃金調整と要求達成が効果的です。,직종별 만족도입니다. 급여 조정과 요구 완료가 효과적입니다.
UnionPopup5,2578000000000005,Active union requests with one requirement and a deadline. Tap to complete when met.,有効な要求一覧です。条件達成後タップで完了できます。,활성 요구 목록입니다. 조건 충족 후 탭하면 완료됩니다.
PolicyCanvas0,2578100000000000,Toggle workplace rules with ongoing effects on production and satisfaction.,職場ルールを切り替え、生産や満足度に継続効果を与えます。,직장 규칙을 켜고 끄며 생산·만족도에 지속 효과를 줍니다.
PolicyCanvas1,2578100000000001,Each policy can be switched on or off. Some cost credits or RP.,各政策をオン・オフできます。クレジットやRPが必要なものもあります。,각 정책을 켜거나 끌 수 있습니다. 크레딧·RP가 필요한 것도 있습니다.
PolicyCanvas2,2578100000000002,Active policies and their effects are summarized here.,有効な政策と効果がここにまとまります。,활성 정책과 효과가 여기 요약됩니다.
NewsCanvas0,2578200000000000,Headlines on market shifts and main events appear here.,市場変化やメインイベントなどのヘッドラインが届きます。,"시장 변화, 메인 이벤트 등 헤드라인이 쌓입니다."
NewsCanvas1,2578200000000001,Scroll active stories here. New articles appear and old ones expire.,ストーリーをスクロールします。新記事が追加され期限で消えます。,기사 목록을 스크롤합니다. 새 기사가 추가되고 기한이 지나면 사라집니다.
NewsCanvas2,2578200000000002,Open a headline to read the full article.,見出しを開くと本文が読めます。,제목을 열면 본문을 읽을 수 있습니다.
BuildingInfoPopup0,2578300000000000,"Manage staff, recipes, buffers, and production for the selected building.",選択した建物の人員・レシピ・バッファ・生産を管理できます。,"선택한 건물의 직원, 레시피, 버퍼, 생산을 관리합니다."
BuildingInfoPopup1,2578300000000001,"The building name is shown here. The indicator below shows whether technicians are required.",建物名が表示されます。下の表示で技術者が必要かどうかが分かります。,건물 이름이 표시됩니다. 아래 표시로 기술자가 필요한 건물인지 확인할 수 있습니다.
BuildingInfoPopup2,2578300000000002,"Build cost, daily maintenance, required staff, and assignment sliders are shown here.",建設費、維持費、必要人数、配置スライダーが表示されます。,"건설 비용, 유지비, 필요 인원, 배치 슬라이더가 표시됩니다."
BuildingInfoPopup3,2578300000000003,Shows recipe inputs and outputs.,レシピの入出力が表示されます。,레시피 입·출력이 표시됩니다.
BuildingInfoPopup4,2578300000000006,"Tap this button to change the output resource. Buffer materials return to inventory first.",このボタンを押すと出力資源を変更できます。変更時はバッファの資源が先に在庫へ戻ります。,이 버튼을 눌러 출력 자원을 변경할 수 있습니다. 변경 시 버퍼 자원이 먼저 창고로 반환됩니다.
BuildingInfoPopup5,2578300000000004,Materials in input/output buffers. Tap an icon to return stock to inventory.,入出力バッファの資源です。アイコンをタップで在庫に戻せます。,입·출력 버퍼 자원입니다. 아이콘을 누르면 창고로 되돌립니다.
BuildingInfoPopup6,2578300000000005,Production progress and staff efficiency for the current batch.,現在バッチの生産進行度と配置従業員の効率です。,현재 배치의 생산 진행도와 직원 효율입니다.
